Running with hyperparameters: optimizer=sgd, learning_rate=0.001, batch_size=128, epsilon=5, seed=51, num_epochs=100, delta=1e-05, clip_bound=1.0, problem=2
cuda
Epoch 1, loss  = 2.2911669125180762, accuracy = 0.17644037861223674
Epoch 2, loss  = 2.2740282931053306, accuracy = 0.26336127177340973
Epoch 3, loss  = 2.2562063279182416, accuracy = 0.3398711837365797
Epoch 4, loss  = 2.23680224601648, accuracy = 0.3815793808724524
Epoch 5, loss  = 2.2159369047770876, accuracy = 0.4208362421774545
Epoch 6, loss  = 2.1919945140383135, accuracy = 0.4690518882108119
Epoch 7, loss  = 2.164466192981582, accuracy = 0.4969612081480121
Epoch 8, loss  = 2.1351299738324783, accuracy = 0.5178129071831481
Epoch 9, loss  = 2.1027552324063232, accuracy = 0.5432702273054846
Epoch 10, loss  = 2.066134786809177, accuracy = 0.5615233556497082
Epoch 11, loss  = 2.0255285537064966, accuracy = 0.5767684420044438
Epoch 12, loss  = 1.9835326544511547, accuracy = 0.581670086612341
Epoch 13, loss  = 1.9366173477315192, accuracy = 0.5863299885622171
Epoch 14, loss  = 1.8842612199945998, accuracy = 0.5893531266737082
Epoch 15, loss  = 1.8356473153588106, accuracy = 0.5873191680017267
Epoch 16, loss  = 1.785915090585314, accuracy = 0.5840386183959587
Epoch 17, loss  = 1.733513966043875, accuracy = 0.5849127449420669
Epoch 18, loss  = 1.6852987231984575, accuracy = 0.5851972222023487
Epoch 19, loss  = 1.6313904910199424, accuracy = 0.5855972671632226
Epoch 20, loss  = 1.5809414546881149, accuracy = 0.5863859294731578
Epoch 21, loss  = 1.5386634742273197, accuracy = 0.5797947242874967
Epoch 22, loss  = 1.4945879689157644, accuracy = 0.5781766410196859
Epoch 23, loss  = 1.4505439874714117, accuracy = 0.5848949082764349
Epoch 24, loss  = 1.4190889683359467, accuracy = 0.5822709707425013
Epoch 25, loss  = 1.372343544766847, accuracy = 0.589131523640932
Epoch 26, loss  = 1.3394606914093246, accuracy = 0.5863215416982602
Epoch 27, loss  = 1.3035515168074097, accuracy = 0.5912338833550421
Epoch 28, loss  = 1.2776283681519758, accuracy = 0.5909396794441317
Epoch 29, loss  = 1.248779111071182, accuracy = 0.5927398709484056
Epoch 30, loss  = 1.2313465083331696, accuracy = 0.5923143403401677
Epoch 31, loss  = 1.2071250201796673, accuracy = 0.5936629699665288
Epoch 32, loss  = 1.1790825664870013, accuracy = 0.5984950833645082
Epoch 33, loss  = 1.1582805307180897, accuracy = 0.5994707493994076
Epoch 34, loss  = 1.138005627116669, accuracy = 0.5999121025384696
