Running with hyperparameters: optimizer=sgd, learning_rate=0.001, batch_size=128, epsilon=10, seed=14, num_epochs=100, delta=1e-05, clip_bound=1.0, problem=2
cuda
Epoch 1, loss  = 2.294577321518205, accuracy = 0.10750419669518992
Epoch 2, loss  = 2.279324426325654, accuracy = 0.1507194990834138
Epoch 3, loss  = 2.263828524140153, accuracy = 0.22164261882551198
Epoch 4, loss  = 2.2483481862651766, accuracy = 0.2756976783573708
Epoch 5, loss  = 2.2310246394387185, accuracy = 0.36330151526051163
Epoch 6, loss  = 2.211658868708336, accuracy = 0.413042874371134
Epoch 7, loss  = 2.190132166022685, accuracy = 0.44103719213810394
Epoch 8, loss  = 2.165671364839143, accuracy = 0.46300866792590395
Epoch 9, loss  = 2.1392333217775388, accuracy = 0.4871712300498132
Epoch 10, loss  = 2.1092452428488335, accuracy = 0.502496568426224
Epoch 11, loss  = 2.0755168674851276, accuracy = 0.5142321411007883
Epoch 12, loss  = 2.03806965767956, accuracy = 0.5227173063002105
Epoch 13, loss  = 2.0012304503272085, accuracy = 0.5296201165156595
Epoch 14, loss  = 1.9587357041678195, accuracy = 0.533814463273228
Epoch 15, loss  = 1.919621370240315, accuracy = 0.5409799854026894
Epoch 16, loss  = 1.8778272704529102, accuracy = 0.5397933743013615
Epoch 17, loss  = 1.83202840066922, accuracy = 0.5493444525648906
Epoch 18, loss  = 1.7881372063907224, accuracy = 0.5500438309954531
Epoch 19, loss  = 1.741418360647108, accuracy = 0.5540827021254945
Epoch 20, loss  = 1.6960514616102045, accuracy = 0.5577573457216243
Epoch 21, loss  = 1.6495044958362701, accuracy = 0.563552858259085
Epoch 22, loss  = 1.6043112125478065, accuracy = 0.5674109452899749
Epoch 23, loss  = 1.5562796745218956, accuracy = 0.5705529375884758
Epoch 24, loss  = 1.5161957570484705, accuracy = 0.5735725876206643
Epoch 25, loss  = 1.4783280442264288, accuracy = 0.5798748002087223
Epoch 26, loss  = 1.4392090349563404, accuracy = 0.5830335676866544
Epoch 27, loss  = 1.4009295526598053, accuracy = 0.5856019450593722
Epoch 28, loss  = 1.3698186094064448, accuracy = 0.591580338631809
Epoch 29, loss  = 1.3390390796702045, accuracy = 0.5944857098051812
Epoch 30, loss  = 1.3057940710328027, accuracy = 0.6012481527057693
Epoch 31, loss  = 1.274158535989871, accuracy = 0.5996760389655794
Epoch 32, loss  = 1.2560016112541086, accuracy = 0.6007237125250405
Epoch 33, loss  = 1.2245897230054779, accuracy = 0.6021208649511665
Epoch 34, loss  = 1.2042059173970334, accuracy = 0.6055397587124385
Epoch 35, loss  = 1.1829642155277196, accuracy = 0.6092651325503612
Epoch 36, loss  = 1.1657629539209133, accuracy = 0.6105225989520898
Epoch 37, loss  = 1.1459613387772778, accuracy = 0.6082146959155751
Epoch 38, loss  = 1.1260679773430327, accuracy = 0.6092069493345367
Epoch 39, loss  = 1.109266903990113, accuracy = 0.6082969478283824
Epoch 40, loss  = 1.1015548305724985, accuracy = 0.6076945577402506
Epoch 41, loss  = 1.0851168130506585, accuracy = 0.6121072897143769
Epoch 42, loss  = 1.0654379731810677, accuracy = 0.6128665015425
Epoch 43, loss  = 1.0610593148131868, accuracy = 0.6147662088163358
Epoch 44, loss  = 1.042726142574221, accuracy = 0.6186732777356493
Epoch 45, loss  = 1.03302787260206, accuracy = 0.6181144025538998
Epoch 46, loss  = 1.0318250119813215, accuracy = 0.6159717453941286
Epoch 47, loss  = 1.0176139832305502, accuracy = 0.6178548346996264
Epoch 48, loss  = 1.011178691631187, accuracy = 0.6169543600408142
Epoch 49, loss  = 0.9944838669254328, accuracy = 0.6219614793375099
Epoch 50, loss  = 0.9862247526264394, accuracy = 0.6257483003289842
Epoch 51, loss  = 0.9831562550591507, accuracy = 0.6217751171886057
Epoch 52, loss  = 0.9745003912748813, accuracy = 0.626789888209648
Epoch 53, loss  = 0.9731770547976626, accuracy = 0.6255829555016654
Epoch 54, loss  = 0.9552322519359304, accuracy = 0.6317379707563159
Epoch 55, loss  = 0.9483021769696461, accuracy = 0.635308852880472
Epoch 56, loss  = 0.9592976688321974, accuracy = 0.6297952728962407
Epoch 57, loss  = 0.9462503773062977, accuracy = 0.6347151256515196
Epoch 58, loss  = 0.9481015429059579, accuracy = 0.6319735763008488
Epoch 59, loss  = 0.9379011241357718, accuracy = 0.6378650535840756
Epoch 60, loss  = 0.9369251362042132, accuracy = 0.6390320935379447
Epoch 61, loss  = 0.9262701181460545, accuracy = 0.6425621100053068
Epoch 62, loss  = 0.9263788450247189, accuracy = 0.642820218955623
Epoch 63, loss  = 0.9350661926432204, accuracy = 0.6379646387525306
Epoch 64, loss  = 0.9238734570647608, accuracy = 0.6430292548725733
Epoch 65, loss  = 0.9185016852960404, accuracy = 0.6450085179967767
Epoch 66, loss  = 0.9142687215225529, accuracy = 0.6513674078478868
Epoch 67, loss  = 0.9171710326981697, accuracy = 0.6488217816975378
Epoch 68, loss  = 0.9146519815489682, accuracy = 0.6530702503396677
Epoch 69, loss  = 0.9044178112991837, accuracy = 0.6592857060401841
Epoch 70, loss  = 0.9130346584421739, accuracy = 0.655329052744468
Epoch 71, loss  = 0.9014192195589354, accuracy = 0.6597132732399942
Epoch 72, loss  = 0.8988678396891937, accuracy = 0.6654545125649421
Epoch 73, loss  = 0.8961796506381492, accuracy = 0.663330545512268
Epoch 74, loss  = 0.8907745242881369, accuracy = 0.6705810709027977
Epoch 75, loss  = 0.9006878507416894, accuracy = 0.6692303000126696
Epoch 76, loss  = 0.8846492030218974, accuracy = 0.6763857057527253
Epoch 77, loss  = 0.8810076465738862, accuracy = 0.6806051610343083
Epoch 78, loss  = 0.8867557993067353, accuracy = 0.6793121047071196
Epoch 79, loss  = 0.8993078011439554, accuracy = 0.6797929553273231
Epoch 80, loss  = 0.8795500313803586, accuracy = 0.6880435382582061
Epoch 81, loss  = 0.8910426203884295, accuracy = 0.6850506497512047
Epoch 82, loss  = 0.8817379390761289, accuracy = 0.687000280650699
Epoch 83, loss  = 0.8854911304486077, accuracy = 0.6890797537506617
Epoch 84, loss  = 0.8861945657841941, accuracy = 0.6913600532622527
Epoch 85, loss  = 0.8736371828803121, accuracy = 0.6933866114504782
Epoch 86, loss  = 0.8787339380555061, accuracy = 0.6946680529963749
Epoch 87, loss  = 0.8767838573404975, accuracy = 0.6972703319118062
Epoch 88, loss  = 0.8663572904143506, accuracy = 0.7009464527310514
Epoch 89, loss  = 0.8713840621112506, accuracy = 0.7007713052566981
Epoch 90, loss  = 0.8679920118500684, accuracy = 0.7003252159352208
Epoch 91, loss  = 0.8721077759891177, accuracy = 0.7005528166447548
Epoch 92, loss  = 0.8823501226236062, accuracy = 0.7016476018415345
Epoch 93, loss  = 0.8704405215376222, accuracy = 0.7037447327623351
Epoch 94, loss  = 0.8694825363057509, accuracy = 0.7055847692259997
Epoch 95, loss  = 0.8659792923088521, accuracy = 0.7088399523006622
Epoch 96, loss  = 0.8574492226023156, accuracy = 0.7113970293872358
Epoch 97, loss  = 0.8731347261461367, accuracy = 0.7061933742621108
Epoch 98, loss  = 0.8830685315609995, accuracy = 0.7059116960807144
Epoch 99, loss  = 0.8715491813383123, accuracy = 0.7087020690198855
Epoch 100, loss  = 0.8738967180252075, accuracy = 0.7102516747440495
Epsilon: 9.991050572038537, Delta: 1e-05, Time Taken for Training 1155.9699685573578
Loss: 0.8812634269714356, Accuracy: 0.7062
Model saved as 'results/fashion_mnist_2c2d/sgd/models/model_type_classification_learning_rate_0.001_num_epochs_100_batch_size_128_sample_rate_0.0021333333333333334_epsilon_10_noise_multiplier_0.591583251953125_delta_1e-05_clip_bound_1.0_seed_14_.pth'
Results saved as 'results/fashion_mnist_2c2d/sgd/json/model_type_classification_learning_rate_0.001_num_epochs_100_batch_size_128_sample_rate_0.0021333333333333334_epsilon_10_noise_multiplier_0.591583251953125_delta_1e-05_clip_bound_1.0_seed_14_.json'
