Running with hyperparameters: optimizer=sgd, learning_rate=1.0, batch_size=256, epsilon=5, seed=14, num_epochs=100, delta=1e-05, clip_bound=1.0, problem=2
cuda
Epoch 1, loss  = 1.1385665434472105, accuracy = 0.685899219585546
Epoch 2, loss  = 0.9891242133810165, accuracy = 0.7703245093079412
Epoch 3, loss  = 0.9625652800215051, accuracy = 0.7893475454877259
Epoch 4, loss  = 0.958443346936652, accuracy = 0.8034850738657323
Epoch 5, loss  = 0.9870421916880506, accuracy = 0.8117402375071668
Epoch 6, loss  = 0.9814866584666232, accuracy = 0.8158937125865157
Epoch 7, loss  = 1.016707524847477, accuracy = 0.8206347904551902
Epoch 8, loss  = 1.0689123115641006, accuracy = 0.8240423120477082
Epoch 9, loss  = 1.0856518859558917, accuracy = 0.8273912825651838
Epoch 10, loss  = 1.1473201941936575, accuracy = 0.827611713380307
Epoch 11, loss  = 1.1326276614310893, accuracy = 0.8309529691665033
Epoch 12, loss  = 1.1213686582889963, accuracy = 0.8310428173733081
Epoch 13, loss  = 1.1768528811475063, accuracy = 0.8325478255137757
Epoch 14, loss  = 1.1542377489678404, accuracy = 0.8332913398845451
Epoch 15, loss  = 1.143944062831554, accuracy = 0.8357868867228984
Epoch 16, loss  = 1.158870556253068, accuracy = 0.8347945563932128
Epoch 17, loss  = 1.1225459715153308, accuracy = 0.8380900293436886
Epoch 18, loss  = 1.1693447189128146, accuracy = 0.8345668822232273
Epoch 19, loss  = 1.1654596808108877, accuracy = 0.8332719438347429
Epoch 20, loss  = 1.165823597603656, accuracy = 0.836406089125545
Epoch 21, loss  = 1.1606396905919338, accuracy = 0.8328797363947827
Epoch 22, loss  = 1.177056519021379, accuracy = 0.8404220753439139
Epoch 23, loss  = 1.11029438668109, accuracy = 0.8413036200570866
Epoch 24, loss  = 1.1167597752936342, accuracy = 0.8406992210468075
Epoch 25, loss  = 1.1635773539543153, accuracy = 0.8405890883784587
Epoch 26, loss  = 1.1650993562759238, accuracy = 0.8422009816709424
