Running with hyperparameters: optimizer=sgd, learning_rate=1.0, batch_size=256, epsilon=10, seed=14, num_epochs=100, delta=1e-05, clip_bound=1.0, problem=2
cuda
Epoch 1, loss  = 1.122190478000235, accuracy = 0.687238036325363
Epoch 2, loss  = 0.960998816439446, accuracy = 0.7711227456909375
Epoch 3, loss  = 0.9167024713881472, accuracy = 0.7919406219438915
Epoch 4, loss  = 0.8852422667310593, accuracy = 0.8086826303429384
Epoch 5, loss  = 0.8785132702360762, accuracy = 0.8182380871868675
Epoch 6, loss  = 0.8686216900957392, accuracy = 0.8229830378503171
Epoch 7, loss  = 0.8679023014738204, accuracy = 0.8302509214683889
Epoch 8, loss  = 0.8856818405871696, accuracy = 0.835295049354844
Epoch 9, loss  = 0.8913795595473432, accuracy = 0.8414675292796703
Epoch 10, loss  = 0.9164919941983325, accuracy = 0.8426823140185121
Epoch 11, loss  = 0.8952591434438177, accuracy = 0.8448161519590982
Epoch 12, loss  = 0.8878612022450629, accuracy = 0.8464871341052838
Epoch 13, loss  = 0.9211905352612759, accuracy = 0.8504564083076229
Epoch 14, loss  = 0.9134689870032858, accuracy = 0.8490478386861439
Epoch 15, loss  = 0.9119032172446555, accuracy = 0.8513726618685304
Epoch 16, loss  = 0.9336399924247822, accuracy = 0.8494401674817496
Epoch 17, loss  = 0.8911404130306649, accuracy = 0.8563219047112484
Epoch 18, loss  = 0.9340080859813285, accuracy = 0.8537061079368423
Epoch 19, loss  = 0.9183981842183052, accuracy = 0.853859170643701
Epoch 20, loss  = 0.9225930085841646, accuracy = 0.8573728931267184
Epoch 21, loss  = 0.9520779080847477, accuracy = 0.8525729952040052
Epoch 22, loss  = 0.9381553275788084, accuracy = 0.8574922846150429
Epoch 23, loss  = 0.909608992617181, accuracy = 0.8566437038763919
Epoch 24, loss  = 0.907260214901985, accuracy = 0.8604506670270342
Epoch 25, loss  = 0.930430155358416, accuracy = 0.8590012919364808
Epoch 26, loss  = 0.933904111892619, accuracy = 0.8618107024243632
Epoch 27, loss  = 0.9691120462214693, accuracy = 0.856871824888263
Epoch 28, loss  = 0.9342563644368598, accuracy = 0.8602792736365302
Epoch 29, loss  = 0.9338434664492912, accuracy = 0.858384098947739
Epoch 30, loss  = 0.9305376653975629, accuracy = 0.8598014718623125
Epoch 31, loss  = 0.9060840998558288, accuracy = 0.8608361402546376
Epoch 32, loss  = 0.8967519336558403, accuracy = 0.8622685743814195
Epoch 33, loss  = 0.9089831935598495, accuracy = 0.8633678627611366
Epoch 34, loss  = 0.8865336652765883, accuracy = 0.8660585421140361
Epoch 35, loss  = 0.8890197032309594, accuracy = 0.8651926079898384
Epoch 36, loss  = 0.8778374595844999, accuracy = 0.8655927307605895
Epoch 37, loss  = 0.9045690591030933, accuracy = 0.8627552226024753
Epoch 38, loss  = 0.8785922878600182, accuracy = 0.8633857819437344
Epoch 39, loss  = 0.9031719983892238, accuracy = 0.8629766120251204
Epoch 40, loss  = 0.8844372395505297, accuracy = 0.864754306457282
Epoch 41, loss  = 0.909787854235223, accuracy = 0.8621130301905106
Epoch 42, loss  = 0.9249308960234865, accuracy = 0.8616177678802462
Epoch 43, loss  = 0.8942152549611762, accuracy = 0.8652597228337834
Epoch 44, loss  = 0.9093965512640932, accuracy = 0.8656583233285408
Epoch 45, loss  = 0.8925396069567254, accuracy = 0.8642064556219032
Epoch 46, loss  = 0.908600252866745, accuracy = 0.8661077294049119
Epoch 47, loss  = 0.9138848264166649, accuracy = 0.8632201992420283
Epoch 48, loss  = 0.8853736461477076, accuracy = 0.8655121736419971
Epoch 49, loss  = 0.8866391419096196, accuracy = 0.8655055200973519
Epoch 50, loss  = 0.8779118109256663, accuracy = 0.8659471706939739
Epoch 51, loss  = 0.8682800707664896, accuracy = 0.8684724394480183
Epoch 52, loss  = 0.879396033794322, accuracy = 0.8653213491883851
Epoch 53, loss  = 0.8993072268810678, accuracy = 0.8657704806499589
Epoch 54, loss  = 0.9030067214940457, accuracy = 0.8640330486997181
Epoch 55, loss  = 0.8907543484200823, accuracy = 0.8656426723275918
Epoch 56, loss  = 0.8913152340878832, accuracy = 0.8657460794503175
Epoch 57, loss  = 0.8874003996240332, accuracy = 0.8655178857101632
Epoch 58, loss  = 0.8910973091074761, accuracy = 0.8662153374268452
Epoch 59, loss  = 0.8901584741917062, accuracy = 0.864865807025642
Epoch 60, loss  = 0.896600411166536, accuracy = 0.862665834862417
Epoch 61, loss  = 0.8677138625307286, accuracy = 0.8638626791754634
Epoch 62, loss  = 0.8804889959223727, accuracy = 0.8647776858910362
Epoch 63, loss  = 0.8786540763175233, accuracy = 0.8652272785778164
Epoch 64, loss  = 0.8832270069325224, accuracy = 0.8666955292645993
Epoch 65, loss  = 0.9030762967911172, accuracy = 0.8650181205635183
Epoch 66, loss  = 0.8712926778387516, accuracy = 0.8670937031058925
Epoch 67, loss  = 0.9124229767221086, accuracy = 0.8641247828991041
Epoch 68, loss  = 0.8931270119991709, accuracy = 0.8658687634206662
Epoch 69, loss  = 0.8912004464484276, accuracy = 0.8676702755507459
Epoch 70, loss  = 0.8821191938633615, accuracy = 0.8649221637666084
Epoch 71, loss  = 0.8982366063493363, accuracy = 0.8618157142399064
Epoch 72, loss  = 0.8840984793419534, accuracy = 0.8658014955805905
Epoch 73, loss  = 0.8772349582073536, accuracy = 0.865919260489853
Epoch 74, loss  = 0.8896534995829806, accuracy = 0.8656344675667526
Epoch 75, loss  = 0.8754438884714817, accuracy = 0.8660533142686803
Epoch 76, loss  = 0.8849534233833881, accuracy = 0.8667391588040682
Epoch 77, loss  = 0.9008879726237439, accuracy = 0.8648144295913235
Epoch 78, loss  = 0.918461133190926, accuracy = 0.8623225494675635
Epoch 79, loss  = 0.8976362546707721, accuracy = 0.864984937112732
Epoch 80, loss  = 0.9276310689905857, accuracy = 0.8643248827390414
Epoch 81, loss  = 0.9265169432822694, accuracy = 0.8628908182530216
Epoch 82, loss  = 0.9138407317881888, accuracy = 0.8628300783360574
Epoch 83, loss  = 0.8989536792673963, accuracy = 0.8637956179852537
Epoch 84, loss  = 0.9416408211626905, accuracy = 0.8629230082064239
Epoch 85, loss  = 0.9136655244421452, accuracy = 0.8654309115739345
Epoch 86, loss  = 0.9271769876175738, accuracy = 0.8629757070255071
Epoch 87, loss  = 0.9333127780163541, accuracy = 0.8618609661984622
Epoch 88, loss  = 0.9355812166599518, accuracy = 0.8616564805985474
Epoch 89, loss  = 0.9471402161933006, accuracy = 0.8626629399973457
Epoch 90, loss  = 0.9270260684033658, accuracy = 0.8639568383160895
Epoch 91, loss  = 0.9345495341940129, accuracy = 0.8625268545250264
Epoch 92, loss  = 0.9369119332191792, accuracy = 0.8622009088990201
Epoch 93, loss  = 0.9356983780860901, accuracy = 0.8635616786529849
Epoch 94, loss  = 0.9630835982079201, accuracy = 0.8616178860028556
Epoch 95, loss  = 0.9918645606396046, accuracy = 0.8609284351636756
Epoch 96, loss  = 0.9493246219259628, accuracy = 0.8595162805989325
Epoch 97, loss  = 0.9380418381792434, accuracy = 0.862291482709204
Epoch 98, loss  = 0.9580407383594107, accuracy = 0.8595883217396749
Epoch 99, loss  = 0.9329845756926435, accuracy = 0.8627403243978538
Epoch 100, loss  = 0.9727787587236851, accuracy = 0.860259954049366
Epsilon: 9.99557930028823, Delta: 1e-05, Time Taken for Training 872.4298770427704
Loss: 1.0671752116203308, Accuracy: 0.8449
