Running with hyperparameters: optimizer=sgd, learning_rate=1.0, batch_size=128, epsilon=5, seed=51, num_epochs=100, delta=1e-05, clip_bound=1.0, problem=2
cuda
Epoch 1, loss  = 1.1743099374938875, accuracy = 0.7232727339839851
Epoch 2, loss  = 1.3294684241321295, accuracy = 0.7738334121124051
Epoch 3, loss  = 1.6164735760261764, accuracy = 0.7800158274297896
Epoch 4, loss  = 1.714240803647397, accuracy = 0.788817315206495
Epoch 5, loss  = 1.828682822459288, accuracy = 0.785439981500527
Epoch 6, loss  = 1.8487449546358479, accuracy = 0.7808179276667087
Epoch 7, loss  = 1.8345217104913838, accuracy = 0.7838513693863628
Epoch 8, loss  = 1.9390306463882105, accuracy = 0.7829389833663358
Epoch 9, loss  = 1.925524945579358, accuracy = 0.7801689826129579
Epoch 10, loss  = 1.9238977850373111, accuracy = 0.7832509154356904
Epoch 11, loss  = 1.7901768952544563, accuracy = 0.7871421943165477
Epoch 12, loss  = 1.757527840417077, accuracy = 0.7854187411000362
Epoch 13, loss  = 1.7770270604822935, accuracy = 0.7860258279265558
Epoch 14, loss  = 1.88900513715073, accuracy = 0.7878554705111197
Epoch 15, loss  = 1.8431261547847089, accuracy = 0.7800663316589704
Epoch 16, loss  = 1.8601967289503702, accuracy = 0.7820513392828514
Epoch 17, loss  = 1.7941626520045022, accuracy = 0.7849523205934208
Epoch 18, loss  = 1.8450680608942565, accuracy = 0.7839968756160209
Epoch 19, loss  = 1.8598249351292022, accuracy = 0.785058368813554
Epoch 20, loss  = 1.921783975700834, accuracy = 0.7849512614043412
Epoch 21, loss  = 1.8361476137439834, accuracy = 0.7794174316316839
Epoch 22, loss  = 1.7619227857223705, accuracy = 0.7833960353066809
Epoch 23, loss  = 1.645652308011614, accuracy = 0.781627555607868
Epoch 24, loss  = 1.6797568426965905, accuracy = 0.7775539704550459
Epoch 25, loss  = 1.7807375418860267, accuracy = 0.7809810976980364
Epoch 26, loss  = 1.7123623689862966, accuracy = 0.777485295693813
Epoch 27, loss  = 1.6108448632490406, accuracy = 0.7826455562332002
Epoch 28, loss  = 1.6086900283787042, accuracy = 0.7783582738941668
Epoch 29, loss  = 1.5961050898281497, accuracy = 0.7752946816800746
Epoch 30, loss  = 1.5650003585479915, accuracy = 0.7768321700660119
Epoch 31, loss  = 1.44505381635003, accuracy = 0.7838604915825071
Epoch 32, loss  = 1.428461329769224, accuracy = 0.7867091567944963
Epoch 33, loss  = 1.4316465140405747, accuracy = 0.7838927356976205
Epoch 34, loss  = 1.4532861233011747, accuracy = 0.7870993004084161
Epoch 35, loss  = 1.4645159412294562, accuracy = 0.781967098476899
Epoch 36, loss  = 1.5163788974666392, accuracy = 0.784678749361446
Epoch 37, loss  = 1.5142041284646561, accuracy = 0.7825511672882433
Epoch 38, loss  = 1.547032951037767, accuracy = 0.7750438567029388
Epoch 39, loss  = 1.51658530797023, accuracy = 0.7805974519687026
Epoch 40, loss  = 1.5385367763576223, accuracy = 0.7836112438279315
Epoch 41, loss  = 1.5570704859457036, accuracy = 0.7822433247514663
Epoch 42, loss  = 1.6074737929331977, accuracy = 0.781938710635291
Epoch 43, loss  = 1.6516313124567206, accuracy = 0.7790623085381682
Epoch 44, loss  = 1.53193894149398, accuracy = 0.7821835904603742
Epoch 45, loss  = 1.5412408726047606, accuracy = 0.7850934372304839
Epoch 46, loss  = 1.5338050941668593, accuracy = 0.7844768625659587
Epoch 47, loss  = 1.5287421545240163, accuracy = 0.7862364758179873
Epoch 48, loss  = 1.5297800468991813, accuracy = 0.7844355820094107
Epoch 49, loss  = 1.4832802301785077, accuracy = 0.7864974371215391
Epoch 50, loss  = 1.4739992410135168, accuracy = 0.7890205545285883
Epoch 51, loss  = 1.4212367965468466, accuracy = 0.7863592124879564
Epoch 52, loss  = 1.4037426478827177, accuracy = 0.7878619633280789
Epoch 53, loss  = 1.4614693218711088, accuracy = 0.7882384872456655
Epoch 54, loss  = 1.365262901732154, accuracy = 0.7904459524391977
Epoch 55, loss  = 1.3985888283771237, accuracy = 0.7936016842346415
Epoch 56, loss  = 1.4607319779741739, accuracy = 0.7884688064054658
Epoch 57, loss  = 1.439917418112887, accuracy = 0.7903148658229039
Epoch 58, loss  = 1.42306011063712, accuracy = 0.789258501856145
Epoch 59, loss  = 1.4089651558953307, accuracy = 0.7907302476396597
Epoch 60, loss  = 1.433179121154712, accuracy = 0.7851889969767633
Epoch 61, loss  = 1.424384824375608, accuracy = 0.7892503980797179
Epoch 62, loss  = 1.4068654751472636, accuracy = 0.7907940420236047
Epoch 63, loss  = 1.4572640954812706, accuracy = 0.7902970356622883
Epoch 64, loss  = 1.4309822641201873, accuracy = 0.7936862227995826
Epoch 65, loss  = 1.4705126532105242, accuracy = 0.7900218411675539
Epoch 66, loss  = 1.3694968034844917, accuracy = 0.7904053079288782
Epoch 67, loss  = 1.4489162585882744, accuracy = 0.7938116751834358
Epoch 68, loss  = 1.4689614688918027, accuracy = 0.7901402515736371
Epoch 69, loss  = 1.5016013322862736, accuracy = 0.7916944485640538
Epoch 70, loss  = 1.4669806001537136, accuracy = 0.7876744143046688
Epoch 71, loss  = 1.476993090117664, accuracy = 0.7913983234091406
Epoch 72, loss  = 1.490242035531286, accuracy = 0.7924269242203279
Epoch 73, loss  = 1.4761504292615186, accuracy = 0.7932756300266048
Epoch 74, loss  = 1.4539709075935867, accuracy = 0.79199252396393
Epoch 75, loss  = 1.4917834533303023, accuracy = 0.7955220110588642
Epoch 76, loss  = 1.4893998893847598, accuracy = 0.7931260059159433
Epoch 77, loss  = 1.4702420327454997, accuracy = 0.7941280925731091
Epoch 78, loss  = 1.4900640315338494, accuracy = 0.7935832537028887
Epoch 79, loss  = 1.549126762062756, accuracy = 0.7931856166047243
Epoch 80, loss  = 1.5279233426427536, accuracy = 0.7968152847466893
Epoch 81, loss  = 1.619330746151491, accuracy = 0.7873814197733068
Epoch 82, loss  = 1.6062569064117953, accuracy = 0.7880032977641492
Epoch 83, loss  = 1.5984320785445192, accuracy = 0.7878552847470518
Epoch 84, loss  = 1.5443962682793135, accuracy = 0.791787725089676
Epoch 85, loss  = 1.590086879760726, accuracy = 0.7921293853844273
Epoch 86, loss  = 1.5578272612745574, accuracy = 0.7931688445875635
Epoch 87, loss  = 1.5114883357273745, accuracy = 0.7901024288809079
Epoch 88, loss  = 1.5652066908919735, accuracy = 0.7871523732534332
Epoch 89, loss  = 1.5639718350316925, accuracy = 0.7872708028407733
Epoch 90, loss  = 1.5393803330626823, accuracy = 0.7861936791562959
Epoch 91, loss  = 1.562067773677647, accuracy = 0.7889228109087147
Epoch 92, loss  = 1.5349210121992554, accuracy = 0.7927435267327299
Epoch 93, loss  = 1.6797862445621856, accuracy = 0.7920845519205442
Epoch 94, loss  = 1.5680555219589265, accuracy = 0.7909074332403496
Epoch 95, loss  = 1.508972600960274, accuracy = 0.792828990488082
Epoch 96, loss  = 1.5029869859915044, accuracy = 0.7910017433389235
Epoch 97, loss  = 1.4915628846266122, accuracy = 0.7908890884444131
Epoch 98, loss  = 1.6309997092432051, accuracy = 0.7905283375335792
Epoch 99, loss  = 1.6353983519428066, accuracy = 0.7881792098824131
Epoch 100, loss  = 1.5715349199675293, accuracy = 0.7858457846097027
Epsilon: 4.9986592340979215, Delta: 1e-05, Time Taken for Training 1157.6939043998718
